행정구역,총승차,평균승차,승차표준편차,총하차,평균하차,하차표준편차,총이용객,평균이용객,이용객표준편차,최대이용객,총환승,평균환승,위도,경도,신규_정류장,커버_여부,최근접_정류장,정류장_거리_km
조치원읍,6181219,6012.8589494163425,1444.3060329425416,5149391,5009.135214007782,1216.980706952937,11330610,11021.994163424124,2656.654749785327,28304,564170,548.8035019455253,36.5912,127.2897,1,1,조치원읍,0.0
도담동,5043017,4905.658560311284,1354.698958051971,4367552,4248.591439688716,1132.1472796885578,9410569,9154.25,2484.335543607729,20712,1330201,1293.9698443579766,36.4984,127.2666,0,1,가람동,0.4389173503076953
어진동,4112090,4000.0875486381324,1453.2879105145462,3855552,3750.536964980545,1312.753339242983,7967642,7750.624513618677,2762.765630130864,19942,976178,949.5894941634241,36.5125,127.2792,1,1,어진동,0.0
한솔동,3220295,3132.5826848249026,804.4687010176527,3047511,2964.5048638132293,777.334092340971,6267806,6097.087548638132,1579.6930377746169,13596,480049,466.9737354085603,36.5121,127.2636,0,1,가람동,1.2474340761075553
아름동,2774151,2701.218111002921,736.0081701009143,2383160,2320.506329113924,692.7053208324669,5157311,5021.7244401168455,1424.9853393509195,11164,209365,203.86075949367088,36.5114,127.2712,0,1,어진동,0.725355187069249
고운동,2338141,2274.456225680934,689.4294163909432,1969028,1915.396887159533,558.8234337055491,4307169,4189.853112840467,1246.2955768470758,9662,180509,175.59241245136187,36.5046,127.2586,0,1,가람동,0.556951276091447
대평동,1986428,1932.3229571984436,458.4083644588657,1823992,1774.3112840466927,454.11242639068945,3810420,3706.6342412451363,909.8470111587002,9080,1259792,1225.4785992217899,36.5144,127.284,0,1,어진동,0.4781763180409312
종촌동,1863460,1812.704280155642,494.3641398074139,1736314,1689.0214007782101,421.33353641580595,3599774,3501.7256809338523,912.1224468110921,8390,129972,126.43190661478599,36.5205,127.2653,0,1,어진동,1.5278537131744867
반곡동,1856244,1805.6848249027237,610.9180984086663,1716009,1669.2694552529183,581.109388232049,3572253,3474.954280155642,1188.7258915452123,8550,143914,139.9941634241245,36.4897,127.2508,0,1,가람동,1.6436628462672116
연기면,1882955,1831.6682879377431,690.4510075683706,1623550,1579.3287937743191,552.7271212474709,3506505,3410.9970817120625,1240.5921462790252,6097,226572,220.40077821011673,36.5899,127.327,1,1,연기면,0.0
나성동,1924198,1871.7879377431907,480.37171156925626,1582062,1538.9708171206225,408.85805909552,3506260,3410.758754863813,885.9216778312958,7390,258373,251.33560311284046,36.515,127.2619,0,1,가람동,1.5699105367444144
금남면,833910,811.9863680623174,195.69276106710538,674777,657.0370009737098,159.80135266575212,1508687,1469.0233690360274,353.04750581711716,4158,96217,93.68743914313535,36.4342,127.3447,1,1,금남면,0.0
보람동,625666,608.624513618677,167.3695718334506,533449,518.9192607003891,145.45750373571812,1159115,1127.5437743190662,310.4137124272355,2544,88197,85.79474708171206,36.5087,127.2556,0,1,가람동,1.0799891105923858
장군면,690749,672.589094449854,212.3836055451195,439048,427.5053554040896,142.91606173655168,1129797,1100.0944498539436,347.8831807443403,2966,47110,45.871470301850046,36.6885,127.2059,0,0,조치원읍,13.151443017342194
다정동,540318,525.6011673151751,148.55526407214094,507005,493.1955252918288,122.96063642660046,1047323,1018.7966926070039,265.46671529892706,2424,36828,35.824902723735406,36.4954,127.2547,0,1,가람동,0.947758394010934
연서면,509392,495.5175097276265,110.90470959497425,426861,415.23443579766536,88.71971829193413,936253,910.7519455252918,194.93958254633347,2240,47569,46.273346303501945,36.5478,127.3962,0,0,연기면,7.752811412683831
부강면,242728,236.34664070107107,67.55712762610679,183003,178.19182083739045,44.025258691138546,425731,414.53846153846155,108.31016950182405,1192,12239,11.917234664070108,36.419,127.4367,0,0,금남면,8.402924670475269
전동면,237121,230.88704965920155,55.355882970951065,188398,183.44498539435247,49.96327736901384,425519,414.332035053554,103.48209333682368,932,7656,7.454722492697177,36.6281,127.1714,0,0,조치원읍,11.328400591910192
연동면,141274,137.55988315481986,38.7553563824333,103928,101.19571567672834,25.66400193406919,245202,238.7555988315482,62.63044597842846,682,6120,5.959104186952288,36.6485,127.2518,0,0,조치원읍,7.213630993422661
소정면,70562,68.70691333982474,18.19712241124919,43052,41.920155793573514,11.090951863165996,113614,110.62706913339825,27.93343814056761,268,857,0.8344693281402142,36.6048,127.3273,0,1,연기면,1.6570208513833382
가람동,49869,48.55793573515093,18.132480383484904,56444,54.96007789678676,19.515460038153055,106313,103.51801363193768,36.060086534627246,355,9641,9.387536514118793,36.5009,127.2628,1,1,가람동,0.0
