행정구역,승차,하차,총_이용객,환승,지역_ID,신규_정류장,커버_여부,위도,경도
조치원읍,6181219,5149391,11330610,564170,0,0,1,36.5349671415301,127.28761735698829
도담동,5043017,4367552,9410569,1330201,1,0,1,36.53851673006185,127.31951057565077
어진동,4112090,3855552,7967642,976178,2,0,1,36.52596393430474,127.31770266973137
한솔동,3220295,3047511,6267806,480049,3,1,1,36.53585108999905,127.34290485370816
아름동,2774151,2383160,5157311,209365,4,0,1,36.501734863385565,127.352298367722
고운동,2338141,1969028,4307169,180509,5,0,1,36.484687177972845,127.34917414984048
대평동,1986428,1823992,3810420,1259792,6,0,1,36.4729422707691,127.33578362821358
종촌동,1863460,1736314,3599774,129972,7,0,1,36.4348934723873,127.34437621098188
반곡동,1856244,1716009,3572253,143914,8,0,1,36.425917560563256,127.34286824138869
연기면,1882955,1623550,3506505,226572,9,0,1,36.41433293146999,127.31124310901926
나성동,1924198,1582062,3506260,258373,10,1,1,36.43011577801106,127.30569309922969
금남면,833910,674777,1508687,96217,11,0,1,36.40900194856761,127.27475251813787
보람동,625666,533449,1159115,88197,12,1,1,36.40504598353646,127.26969919281345
장군면,690749,439048,1129797,47110,13,0,1,36.407491272885615,127.2535554373347
다정동,540318,507005,1047323,36828,14,0,1,36.426390874555686,127.23114657367515
연서면,509392,426861,936253,47569,15,0,1,36.443684024028066,127.24117742368283
전의면,389361,271045,660406,38296,16,0,1,36.46939845815782,127.20562630018222
부강면,242728,183003,425731,12239,17,0,1,36.49876571510308,127.20348240333999
전동면,237121,188398,425519,7656,18,0,1,36.51285571856502,127.20203278524014
연동면,141274,103928,245202,6120,19,1,1,36.51547997036834,127.2346944596955
소정면,70562,43052,113614,857,20,0,1,36.550269832063634,127.25029984041149
가람동,49869,56444,106313,9641,21,0,1,36.55058274550311,127.26492442502435
반포면,406,702,1108,4,22,0,1,36.54021478009633,127.28180155791605
