노선1,노선2,공유정류장수,중복비율_%
91,910,52,83.9
72,86,48,46.2
72,73,43,79.6
69,691,42,100.0
16,17,40,87.0
91,92,40,76.9
910,92,40,76.9
82,86,38,82.6
66,661,38,92.7
91,95,38,61.3
92,95,38,73.1
910,95,38,56.7
31,32,36,65.5
300,32,36,48.6
93,94,33,62.3
300,33,32,38.1
17,75,32,69.6
16,75,32,50.0
94,95,30,55.6
92,94,30,57.7
910,94,30,55.6
300,31,30,54.5
91,94,30,55.6
32,33,28,37.8
B0,B5,26,44.8
661,691,26,44.8
71,86,24,32.9
B0,B2,24,85.7
661,69,24,57.1
66,69,24,58.5
66,691,24,58.5
1004,201,22,44.0
31,33,22,40.0
17,72,21,45.7
71,76,21,55.3
16,72,21,32.8
73,86,21,38.9
72,75,21,22.6
67,691,20,52.6
661,67,20,52.6
66,67,20,52.6
67,69,20,52.6
13,93,20,71.4
1004,1005,20,52.6
13,71,18,64.3
75,86,18,19.4
71,72,18,24.7
11,76,17,56.7
13,76,17,60.7
12,73,17,56.7
16,86,17,26.6
72,74,17,58.6
17,86,17,37.0
71,93,17,32.1
12,86,16,53.3
74,75,16,55.2
76,86,16,42.1
72,76,16,42.1
17,74,16,55.2
16,74,16,55.2
12,72,16,53.3
1004,52,16,41.0
11,71,16,53.3
74,86,15,51.7
1004,53,15,39.5
12,71,15,50.0
11,72,15,50.0
11,86,15,50.0
71,73,15,27.8
76,93,15,39.5
73,93,15,28.3
11,91,14,46.7
11,94,14,46.7
73,75,14,25.9
17,73,14,30.4
73,74,14,48.3
16,73,14,25.9
11,910,14,46.7
11,95,14,46.7
11,92,14,46.7
13,92,13,46.4
13,95,13,46.4
12,95,13,43.3
13,94,13,46.4
12,74,13,44.8
12,94,13,43.3
91,93,13,24.5
93,95,13,24.5
910,93,13,24.5
92,93,13,25.0
13,91,13,46.4
13,910,13,46.4
71,95,13,19.4
76,94,13,34.2
76,95,13,34.2
71,910,13,17.8
71,94,13,24.1
71,92,13,25.0
76,910,13,34.2
76,92,13,34.2
76,91,13,34.2
71,91,13,21.0
12,910,13,43.3
12,91,13,43.3
12,92,13,43.3
12,75,12,40.0
74,76,12,41.4
201,203,12,24.0
12,13,12,42.9
11,93,12,40.0
12,17,12,40.0
12,16,12,40.0
1005,201,12,31.6
11,13,12,42.9
12,93,11,36.7
11,16,11,36.7
11,75,11,36.7
11,17,11,36.7
12,76,10,33.3
13,73,10,35.7
73,76,10,26.3
81,95,10,47.6
73,94,9,16.7
17,76,9,23.7
203,53,9,23.7
16,76,9,23.7
73,910,9,16.7
75,76,9,23.7
73,91,9,16.7
73,92,9,17.3
73,95,9,16.7
11,74,8,27.6
1004,61,8,20.0
13,86,8,28.6
201,B5,8,16.0
81,86,8,38.1
81,82,8,38.1
83,85,8,26.7
B2,B5,8,28.6
203,52,8,20.5
13,72,8,28.6
203,221,7,11.5
13,16,6,21.4
13,17,6,21.4
1005,203,6,15.8
1005,61,6,15.8
11,73,6,20.0
11,12,6,20.0
1004,203,6,9.8
13,74,6,21.4
16,94,6,11.1
16,93,6,11.3
16,92,6,11.5
16,910,6,9.4
16,91,6,9.7
16,71,6,9.4
13,75,6,21.4
17,71,6,13.0
17,910,6,13.0
17,92,6,13.0
16,95,6,9.4
17,93,6,13.0
17,91,6,13.0
72,91,6,9.7
71,74,6,20.7
71,75,6,8.2
75,94,6,11.1
75,93,6,11.3
75,95,6,9.0
74,93,6,20.7
72,95,6,9.0
72,94,6,11.1
72,93,6,11.3
72,92,6,11.5
62,64,6,26.1
17,95,6,13.0
17,94,6,13.0
201,53,6,15.8
72,910,6,6.5
74,91,6,20.7
74,910,6,20.7
74,92,6,20.7
74,94,6,20.7
86,94,6,11.1
86,92,6,11.5
86,95,6,9.0
74,95,6,20.7
75,91,6,9.7
75,910,6,6.5
75,92,6,11.5
86,910,6,6.5
86,91,6,9.7
83,84,6,20.0
86,93,6,11.3
201,52,5,12.8
31,35,5,11.9
53,61,5,13.2
52,61,5,12.8
