위도,경도,수요,환승,평균거리,셀개수,커버_수요,우선순위
36.50392000000008,127.30944488579566,1418.4685338195982,114.57993713777795,0.7937453699592361,6,1418.4685338195982,1
36.48392000000007,127.27634875920279,1103.4872991304694,96.10002068735795,0.7949510567007627,4,1103.4872991304694,2
36.52392000000008,127.27351198847454,1086.024707858467,48.65729151706744,0.987930574339379,6,1086.024707858467,3
36.5389200000001,127.25995594664566,937.6512361646828,57.89662561626939,0.60001779550721,6,937.6512361646828,4
36.48892000000007,127.2813019192245,708.9394273342023,51.03760052631648,0.8547595738559484,4,708.9394273342023,5
36.508920000000074,127.31152507503798,679.8876433636354,54.91943006136848,1.2357399856378826,6,679.8876433636354,6
36.48892000000008,127.31214445884473,667.9409069530968,53.95440597074936,0.6129842849848577,2,667.9409069530968,7
36.60892000000013,127.3063989750815,622.9942057319861,34.156478535197984,0.5997650046775558,2,622.9942057319861,8
36.52892000000009,127.27910762004682,576.6628843021023,25.836294391395203,0.6638798654835769,4,576.6628843021023,9
36.46892000000007,127.2609239713294,473.032052563418,54.28257710258173,0.7449698239499885,2,473.032052563418,10
36.473920000000064,127.24468399999986,434.3363183863631,60.87401556677342,0.5791665835000448,1,434.3363183863631,11
36.453920000000046,127.29685364537443,410.48198694315056,26.546982093043688,1.1374006635914093,5,410.48198694315056,12
36.473920000000064,127.26468399999985,398.8246178198902,55.89690515354038,0.5428496515752699,1,398.8246178198902,13
36.51892000000009,127.27853914380393,380.7851048813431,17.06035941862127,1.393085742213632,4,380.7851048813431,14
36.458920000000056,127.29696789029244,353.3839627342083,22.85429818866351,1.1587396204748672,5,353.3839627342083,15
