행정구역,총수요,노선수,노선목록,수요_per_노선,최단거리_km,최인접정류장,서비스수준
조치원읍,11330610,20,"11, 12, 13, 16, 17, 300, 31, 71, 72, 73, 74, 75, 76, 86, 91, 910, 92, 93, 94, 95",566530,0.21,조치원역뒤편,과잉
도담동,9410569,5,"1004, 1005, 52, 53, 61",1882113,0.26,첫마을4단지,적정
어진동,7967642,6,"203, 52, 53, B0, B2, B5",1327940,0.3,새롬동.나성동,과잉
한솔동,6267806,2,"B0, B5",3133903,0.16,반곡동(수루배마을),부족
아름동,5157311,8,"221, 66, 661, 67, 69, 691, B0, B5",644663,0.18,세종시청.교육청.시의회,과잉
고운동,4307169,3,"221, B0, B5",1435723,0.3,소담동 새샘마을,적정
대평동,3810420,4,"1004, 1005, 203, B5",952605,0.15,한결초등학교,적정
종촌동,3599774,11,"221, 62, 64, 66, 661, 67, 69, 691, B0, B2, B5",327252,0.18,대평동,과잉
반곡동,3572253,0,없음,3572253,0.57,해밀리,미커버
연기면,3506505,1,16,3506505,0.03,눌왕리(새터말),부족
나성동,3506260,6,"1004, 201, 221, 52, 53, B5",584376,0.15,종촌종합복지센터,과잉
금남면,1508687,0,없음,1508687,0.75,발산리,미커버
보람동,1159115,4,"1004, 1005, 52, 53",289778,0.05,새롬동커뮤니티센터,적정
장군면,1129797,0,없음,1129797,0.53,대교1리(밤실입구),미커버
다정동,1047323,3,"1004, 201, B5",349107,0.19,아름초등학교,적정
연서면,936253,3,"72, 73, 86",312084,0.04,연서감리교회,적정
전의면,660406,2,"82, 86",330203,0.15,신흥리(사사),부족
부강면,425731,1,300,425731,0.25,부강면생활체육관,부족
전동면,425519,0,없음,425519,0.86,석곡리,미커버
연동면,245202,3,"300, 32, 33",81734,0.25,연동중학교,적정
소정면,113614,0,없음,113614,1.04,소정면우체국,미커버
가람동,106313,4,"1004, 1005, 201, 221",26578,0.09,가락마을14단지,적정
반포면,1108,5,"66, 661, 67, 69, 691",221,0.45,"장영실고등학교,호탄리(안터)",적정
